,coin_name,coin_symbol,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,price,volume_24h
0,bitcoin,BTC,552785926918.7615,-1.010195,-2.35734079,-4.55862917,29017.120637748376,38178882541.96503
1,ethereum,ETH,212664969575.0161,-2.40932157,-9.9114053,-13.29430091,1758.4814432668709,24788665748.197796
2,tether,USDT,73206860539.01152,0.00612385,0.00620448,0.003692,0.9990660516852806,70504301154.15402
3,usd-coin,USDC,53212698968.93066,0.00931682,0.00266161,-0.01888077,1.0002256844818802,6879654287.183569
4,bnb,BNB,49089509396.849594,-1.76834239,-8.40877697,-2.69499288,300.65175759221864,2762318881.628798
5,xrp,XRP,18778573889.56585,-1.19548336,-4.97961048,-9.64042436,0.38844371636487357,2159528763.0162163
6,binance-usd,BUSD,18215970038.747578,-0.12143922,-0.27445487,-0.20236486,0.9989892236809466,6845846023.973086
7,cardano,ADA,15775285933.953642,-2.80629563,-9.50761528,-13.08038844,0.4675678769644215,944803639.8721161
8,solana,SOL,14414177844.575012,-2.70080269,-11.97890177,-19.58355293,42.46969584281682,2303447088.5934987
9,dogecoin,DOGE,10287081519.779943,-1.1997243,-6.97022381,-10.99083941,0.07753842057114128,750845381.6069238
10,polkadot-new,DOT,8768002334.853188,-2.78264682,-10.43989359,-12.22730123,8.87827661237943,923401701.7112066
11,wrapped-bitcoin,WBTC,7967826229.176105,-1.11269629,-2.6223496,-4.65902932,28942.032069512432,460151864.0234003
12,tron,TRX,7560469350.9527645,-2.17819265,-5.53081675,8.42207881,0.08020828106073498,1895432808.3461123
13,multi-collateral-dai,DAI,6584375222.474383,-0.03246337,-0.06262079,-0.1196188,0.9997999601977953,557903536.0797844
14,avalanche,AVAX,6184496913.335277,-2.42145006,-17.79826335,-26.35810333,22.837691346108095,1016148994.8064207
15,shiba-inu,SHIB,5703964336.399158,-2.37340724,-10.78692567,-12.66191228,1.0388537270372072e-05,486504156.04428464
16,polygon,MATIC,4677473808.099943,-2.24250581,-9.97059896,-11.56978822,0.5879043955721531,647230792.2836236
17,unus-sed-leo,LEO,4651343697.734251,-0.33769178,-0.48625514,-2.14163336,4.875856764448675,6050811.61424652
18,litecoin,LTC,4403923622.600211,-1.93468444,-8.58626751,-13.46237083,62.57936162655635,733220196.110722
19,cronos,CRO,4260718963.913157,-1.08870391,-8.69290611,-14.23128917,0.1686544216718844,58733688.173507
20,ftx-token,FTT,3703577970.9287047,-1.41123591,-6.7700688,-12.31128115,27.19726766747856,97179094.64024808
21,uniswap,UNI,3512937655.1381702,-2.3434002,-14.8927537,-7.12947821,4.8866182847707025,214027448.96256134
22,near-protocol,NEAR,3486223194.553571,-4.86993667,-13.40197705,-19.40862564,4.9928193640714715,585527370.4876014
23,monero,XMR,3387505710.5481,-1.67467328,-7.3101,11.51028159,186.88138310199284,216821591.97700715
24,bitcoin-cash,BCH,3376612635.0755315,-2.55578845,-7.74656258,-10.6629296,177.02750303410807,2686805375.1707253
25,stellar,XLM,3025103109.470846,-2.34811735,-8.75982939,-8.14638686,0.12159863984716715,209795495.59704363
26,ethereum-classic,ETC,3013734391.92212,-2.01406684,-5.77488662,6.37064589,22.329159552723567,679020175.2357839
27,chainlink,LINK,3011012899.3361735,-2.45533883,-8.15008087,-11.13083096,6.447433253618276,407135984.1422109
28,cosmos,ATOM,2675415109.578066,-2.98294887,-13.64604901,-15.89488216,9.342502129604823,374966606.3844936
29,algorand,ALGO,2549537438.8898606,-2.82587436,-8.34775554,-18.04111113,0.3714765666050117,160953813.25618806
30,flow,FLOW,2520327072.9746666,-2.83317146,-10.79671556,-17.99980188,2.432278588085955,75798169.38783708
31,vechain,VET,1876175272.6962912,-1.76961179,-7.94797281,-7.46920917,0.029171397669606178,246788632.7632764
32,hedera,HBAR,1850241141.2478192,-2.08425238,-9.30864345,-14.95841137,0.08920519035726743,47171517.33735917
33,apecoin-ape,APE,1802968446.434207,-3.50207985,-16.13438698,-25.40216329,6.170587196352366,576319323.7379307
34,decentraland,MANA,1777483991.643464,-2.91765443,-11.56179801,-14.72800875,0.9638855990085701,445191729.28338945
35,internet-computer,ICP,1671066076.2541916,-2.94951414,-8.85664275,-13.88312042,7.142202831072436,87862587.42752026
36,tezos,XTZ,1626492299.7440894,-3.63415984,-18.7530425,2.15976647,1.8152891148704628,140694107.63106596
37,the-sandbox,SAND,1606792981.2809644,-3.81732953,-11.09179435,-1.28851562,1.3088206241497915,1050566333.9585351
38,filecoin,FIL,1597412078.5464745,-2.25807646,-8.808937,-9.14545187,7.508573822788593,393591537.5716036
39,elrond-egld,EGLD,1583255207.3996058,-1.79433857,-17.20508024,-21.9466596,71.99144104889511,98595231.07110614
40,kucoin-token,KCS,1516540473.4038212,-0.45378959,-4.37444723,0.3582125,15.415151625133712,8181200.69825133
41,aave,AAVE,1317874399.9639587,-3.33867678,-8.63426267,2.18500219,95.02787062527993,362225818.9247928
42,trueusd,TUSD,1238994903.4709153,0.04517959,0.10097757,0.00904181,1.000883928224124,175402456.42993894
43,zcash,ZEC,1228828126.6348486,-4.14265354,-11.8956577,-20.80603346,84.91935129436582,184777143.12432542
44,klaytn,KLAY,1218118000.3687584,-1.54188314,-7.89185105,-0.37276495,0.4287168385232753,105094474.17846122
45,eos,EOS,1206031604.946349,-1.92940878,-8.55717427,-8.64863638,1.2175972835722386,388920410.3996899
46,axie-infinity,AXS,1160560853.8308384,-3.03117817,-10.6577554,-12.49314419,19.054481859062324,213088809.30618736
47,theta-network,THETA,1101700172.691475,-3.75698532,-11.31297215,-16.04397278,1.1017001726914748,94804629.75174151
48,maker,MKR,1095109272.0198112,-2.99694648,-12.67032221,-21.98090011,1120.1662290052914,114807557.47937332
49,huobi-token,HT,1068271160.6286353,-0.85483968,-1.38107858,-1.96578059,6.897182181760286,53900754.6462753
50,bittorrent-new,BTT,971743215.6906375,-1.07428233,-7.42157406,-6.99949461,1.0457001938414103e-06,181941833.98456958
51,paxos-standard,USDP,941935610.2203308,0.12786217,-0.37125902,-0.50057937,0.9960795668931469,35152424.53272461
52,the-graph,GRT,932127324.3442274,-2.67254699,-11.20298344,-16.51394452,0.13509091657162717,91908554.68121846
53,fantom,FTM,926584686.1889787,-3.20711249,-10.50220109,2.97351055,0.36407952939807103,482172467.4537515
54,bitcoin-sv,BSV,920253244.7845337,-1.56173816,-9.38878464,-5.75227869,48.256494799201135,163730133.24396107
55,ecash,XEC,882327039.1736206,-1.73577933,-6.32860632,-2.31673058,4.6268036169492536e-05,12931531.69928907
56,thorchain,RUNE,866354595.3203454,-2.40634021,-15.32063788,-15.9335549,2.6198544689646943,147653774.5830265
57,iota,MIOTA,841367986.3421319,-2.55259138,-10.17985932,-11.31670973,0.3027015001376518,31301311.94635465
